Ensemble,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbols
ENSMUSG00000042444,1606.416405,-0.172028258,0.319648149,0.314135541,0.629614976,Mindy2
ENSMUSG00000027739,351.1007762,0.161981375,0.191009676,0.314223907,0.629621335,Rab33b
ENSMUSG00000050010,580.3995543,0.043167023,0.340864209,0.314249651,0.629621335,Shisa3
ENSMUSG00000040795,170.0918904,-0.154477407,0.178785743,0.314476466,0.62983483,Iqcc
ENSMUSG00000034118,660.6559763,0.18320318,0.270209779,0.314425084,0.62983483,Tpst1
ENSMUSG00000022769,2532.447894,-0.175228748,0.305001281,0.314465465,0.62983483,Sdf2l1
ENSMUSG00000111858,3.377584439,0.041240956,0.341452237,0.314573201,0.62994827,Gm48277
ENSMUSG00000087502,33.95179672,0.167142357,0.326492369,0.314696283,0.630114438,NA
ENSMUSG00000028649,8529.731403,0.179715287,0.307093183,0.314741234,0.630124142,Macf1
ENSMUSG00000040549,2009.502462,0.183290465,0.281508619,0.314805204,0.630171916,Ckap5
ENSMUSG00000014767,401.421177,-0.141124673,0.158842698,0.314846787,0.630174868,Tbp
ENSMUSG00000096006,5.364589493,-0.111866411,0.344143751,0.315049207,0.630258867,NA
ENSMUSG00000027219,1187.498633,0.177181636,0.32176274,0.314970093,0.630258867,Slc28a2
ENSMUSG00000032264,614.2818873,0.153302446,0.176586255,0.315048556,0.630258867,Zw10
ENSMUSG00000078789,243.0606436,0.176632831,0.230896047,0.315013329,0.630258867,Dph1
ENSMUSG00000022751,355.3281566,-0.167455122,0.209182475,0.315116836,0.630313905,Nit2
ENSMUSG00000032913,387.8396812,-0.180678472,0.256228333,0.315170003,0.630340006,Lrig2
ENSMUSG00000034518,505.0412306,0.14319062,0.164376638,0.315327876,0.630495238,Hmgxb4
ENSMUSG00000102562,7.163380671,-0.0905792,0.343641069,0.315307241,0.630495238,NA
ENSMUSG00000031887,623.7187379,-0.173101646,0.225183085,0.315387714,0.630534644,Tradd
ENSMUSG00000064030,496.6774331,0.175368771,0.223492812,0.315669187,0.63093681,Pym1
ENSMUSG00000100629,13.15370609,-0.156321998,0.331242747,0.315666836,0.63093681,NA
ENSMUSG00000107041,3.801624889,0.08303147,0.343860538,0.315735005,0.630988094,NA
ENSMUSG00000083992,18.0372214,-0.153814195,0.332562646,0.315836799,0.631111254,Gm11478
ENSMUSG00000038622,312.3410299,-0.160244083,0.191516861,0.316024585,0.631406189,Med30
ENSMUSG00000041025,628.0256531,0.16524403,0.203778429,0.316067634,0.63141191,Iffo2
ENSMUSG00000053178,14.80612179,-0.142686788,0.338587801,0.31615393,0.631423738,Mterf1b
ENSMUSG00000030701,4.743949665,0.108623017,0.344906512,0.3161189,0.631423738,Plekhb1
ENSMUSG00000104002,4.307188846,-0.10576005,0.344598516,0.316325427,0.631543898,NA
ENSMUSG00000029012,387.3984129,-0.165749665,0.210784141,0.316275154,0.631543898,Orc5
ENSMUSG00000029162,381.0830475,-0.150019717,0.335200943,0.316369653,0.631543898,Khk
ENSMUSG00000021621,390.0046429,0.178946617,0.246651883,0.316415069,0.631543898,Zcchc9
ENSMUSG00000022792,275.761269,0.182536625,0.279662239,0.316378341,0.631543898,Yars2
ENSMUSG00000018707,11678.04739,0.173722056,0.223163668,0.31650183,0.63163683,Dync1h1
ENSMUSG00000044551,70.60328226,0.179051296,0.304382343,0.316593802,0.631740134,9930012K11Rik
ENSMUSG00000031907,429.180633,-0.179440877,0.28254277,0.316856135,0.632107068,Zfp90
ENSMUSG00000097887,10.10200441,0.138532125,0.340645161,0.316858151,0.632107068,NA
ENSMUSG00000066838,68.87643759,0.186384045,0.271785862,0.316932118,0.632174361,Zfp772
ENSMUSG00000037725,341.2284259,0.156849166,0.334644217,0.31703704,0.632303373,Ckap2
ENSMUSG00000026198,16.17015979,0.127292966,0.343486433,0.317201864,0.632551806,Abcb6
ENSMUSG00000102704,5.814433799,0.08640485,0.344236304,0.317438885,0.632557531,NA
ENSMUSG00000029578,1473.292586,-0.160462021,0.193444724,0.317358846,0.632557531,Wipi2
ENSMUSG00000030413,34.93274646,0.046206711,0.340523895,0.317486551,0.632557531,Pglyrp1
ENSMUSG00000108614,3.144396019,-0.079182827,0.343469709,0.317476035,0.632557531,NA
ENSMUSG00000115099,6.925159716,0.096775718,0.345277323,0.317386176,0.632557531,NA
ENSMUSG00000032402,441.2102126,0.17523054,0.310250466,0.317308521,0.632557531,Smad3
ENSMUSG00000024789,2396.669041,-0.13902021,0.334376027,0.317461118,0.632557531,Jak2
ENSMUSG00000032334,92.91411569,-0.081855233,0.342904739,0.317584866,0.632673186,Loxl1
ENSMUSG00000070699,222.6111614,0.163433309,0.202724364,0.317645751,0.632714254,Sars2
ENSMUSG00000054594,4.860115787,-0.051159236,0.343659095,0.317808528,0.632874529,Oscar
ENSMUSG00000063317,675.1233347,0.187163729,0.304812904,0.317927613,0.632874529,Usp31
ENSMUSG00000051648,3.283546869,0.060406749,0.342443084,0.317842837,0.632874529,Kctd19
ENSMUSG00000052724,10.83899078,0.150491687,0.336446484,0.317894308,0.632874529,NA
ENSMUSG00000086837,4.346234124,-0.108178706,0.344092223,0.317852748,0.632874529,Gm16618
ENSMUSG00000044763,404.9766705,0.16594052,0.315402393,0.317996328,0.632931126,Trmt10c
ENSMUSG00000031986,707.0874778,0.132387805,0.153818041,0.318038976,0.632935832,Sprtn
ENSMUSG00000021981,896.0439339,-0.18644867,0.23780445,0.318130014,0.632988955,Cab39l
ENSMUSG00000035021,1215.279167,0.167892911,0.324078567,0.318146243,0.632988955,Baz1a
ENSMUSG00000104315,3.854360831,0.09777507,0.3445601,0.318287471,0.633109602,NA
ENSMUSG00000049999,65.80946819,-0.180740133,0.290415598,0.318279011,0.633109602,Ppp1r3d
ENSMUSG00000079477,10581.87356,-0.153209411,0.159434738,0.318389801,0.633187102,Rab7
ENSMUSG00000022897,1302.793815,0.186587686,0.262295764,0.318407033,0.633187102,Dyrk1a
ENSMUSG00000074884,2811.988199,-0.175496844,0.300802115,0.318463977,0.633198582,Serf2
ENSMUSG00000040785,628.5906872,-0.172822734,0.303252171,0.318493406,0.633198582,Ttc3
ENSMUSG00000022528,19.46764448,-0.073819182,0.343383846,0.318536232,0.633203602,Hes1
ENSMUSG00000017740,15.09296614,0.114969696,0.343452625,0.318611627,0.633273357,Slc12a5
ENSMUSG00000107894,5.599458232,-0.105658814,0.343604716,0.318684134,0.633274288,NA
ENSMUSG00000015568,67023.99388,0.154275941,0.336590896,0.318692706,0.633274288,Lpl
ENSMUSG00000098749,4.837702631,0.093331159,0.344111396,0.318846964,0.633448507,NA
ENSMUSG00000031097,91.11240107,0.134444944,0.34259876,0.318861014,0.633448507,Tnni2
ENSMUSG00000055334,138.63048,0.15944309,0.192346267,0.319004176,0.633652795,Snupn
ENSMUSG00000030213,1137.871588,-0.168710754,0.220805086,0.319056803,0.63367722,Atf7ip
ENSMUSG00000020826,11542.56295,0.06379548,0.342460814,0.319234255,0.633949523,Nos2
ENSMUSG00000027679,540.1467973,0.155346315,0.185630133,0.319394741,0.634188067,Dnajc19
ENSMUSG00000096056,6.382211679,0.132520796,0.34219334,0.319515627,0.634347931,NA
ENSMUSG00000057219,720.1978647,-0.172703591,0.231994816,0.319561802,0.634359448,Armc7
ENSMUSG00000044148,968.2335012,-0.153548603,0.184145393,0.320001173,0.635034922,1810030O07Rik
ENSMUSG00000033585,8.865322891,-0.067437283,0.342734748,0.3200648,0.635034922,Ndn
ENSMUSG00000110331,6.496787659,0.139550922,0.339674401,0.320065675,0.635034922,NA
ENSMUSG00000032340,128.4981899,-0.156706654,0.328646281,0.320033355,0.635034922,Neo1
ENSMUSG00000065599,8.089603698,-0.115374974,0.342600481,0.320104161,0.635034922,Mir23b
ENSMUSG00000118506,7.58574057,-0.13318925,0.340658778,0.320619588,0.635977145,Cfap141
ENSMUSG00000047678,11.49244208,-0.06033064,0.342705836,0.320681309,0.636019278,Gpr82
ENSMUSG00000035202,18243.5367,-0.176785351,0.289675319,0.320738411,0.636052242,Lars2
ENSMUSG00000108655,24.49728694,0.160439344,0.328882617,0.320860791,0.636208387,NA
ENSMUSG00000001700,279.6734477,-0.157975739,0.327160382,0.320898133,0.636208387,Gramd2b
ENSMUSG00000086240,15.91305159,-0.15632275,0.330715621,0.321085052,0.636411919,NA
ENSMUSG00000045100,183.6975028,-0.18254771,0.279462885,0.321122307,0.636411919,Slc25a26
ENSMUSG00000025200,312.9473878,0.146638511,0.174571623,0.321119367,0.636411919,Cwf19l1
ENSMUSG00000048118,966.076204,-0.171021458,0.314150642,0.321178889,0.636443777,Arid4a
ENSMUSG00000048264,326.6822497,0.180972825,0.271903836,0.321232498,0.636469736,Dip2c
ENSMUSG00000009566,199.5437294,0.180645056,0.271881915,0.321408708,0.636558057,Fpgs
ENSMUSG00000040133,189.1628601,-0.164729177,0.312186449,0.321415878,0.636558057,Gpr176
ENSMUSG00000098041,4.930524412,0.085270531,0.344048323,0.321356224,0.636558057,NA
ENSMUSG00000092454,19.90546263,0.174955302,0.304601334,0.321439131,0.636558057,NA
ENSMUSG00000009863,3066.049098,-0.177741806,0.262182897,0.321482033,0.636562786,Sdhb
ENSMUSG00000040250,374.6359291,0.185958029,0.284107397,0.321756415,0.637025806,Ints13
ENSMUSG00000041895,427.345628,-0.145003931,0.171973403,0.321822319,0.637076009,Wipi1
ENSMUSG00000027312,1390.441612,0.183764971,0.286191038,0.321993263,0.63725383,Atrn
ENSMUSG00000030681,5390.446021,0.171559561,0.214530901,0.321961743,0.63725383,Mvp
ENSMUSG00000049608,62.53767543,-0.077316742,0.343440324,0.322219619,0.637460923,Gpr55
ENSMUSG00000026429,173.9689943,0.180265198,0.289325148,0.32216708,0.637460923,Ube2t
ENSMUSG00000018750,1694.939336,-0.18190869,0.247580382,0.322180046,0.637460923,Zbtb4
ENSMUSG00000042406,5905.399243,0.178514879,0.299647721,0.32226534,0.637471109,Atf4
ENSMUSG00000037640,156.3631328,-0.172790746,0.26648955,0.322333357,0.63752539,Zfp60
ENSMUSG00000026622,432.8142781,0.161790043,0.33249739,0.32244955,0.63759468,Nek2
ENSMUSG00000021256,55.79122115,0.169836755,0.322057522,0.322430829,0.63759468,Vash1
ENSMUSG00000095687,74.50329608,0.117577753,0.343329933,0.322721897,0.638052907,Rnaset2a
ENSMUSG00000090622,9.653638016,0.130245199,0.341376509,0.322872596,0.638270537,A930033H14Rik
ENSMUSG00000020766,637.8633115,0.172484463,0.313742647,0.32292307,0.638290008,Galk1
ENSMUSG00000000359,3.297599937,-0.066251829,0.342286105,0.323019554,0.638313435,Rem1
ENSMUSG00000028952,139.7992967,-0.159944225,0.198536272,0.3230568,0.638313435,Zbtb48
ENSMUSG00000042564,9.863793088,-0.136943784,0.33956474,0.323040994,0.638313435,Fam227a
ENSMUSG00000026753,1279.670153,0.141057821,0.163381856,0.323339299,0.638615569,Ppp6c
ENSMUSG00000040321,125.3061977,0.163328365,0.324738233,0.323360692,0.638615569,Zfp770
ENSMUSG00000097472,12.59792836,0.127551078,0.342708826,0.323382006,0.638615569,NA
ENSMUSG00000034218,418.6764612,0.161108615,0.329600406,0.323412938,0.638615569,Atm
ENSMUSG00000054939,37.58659403,0.17851234,0.254735521,0.323304564,0.638615569,Zfp174
ENSMUSG00000026728,62937.73114,0.180941376,0.268700362,0.32352609,0.638758723,Vim
ENSMUSG00000078201,141.1565589,-0.168749303,0.315004134,0.323670888,0.638884043,Tmem203
ENSMUSG00000044937,13.49201919,0.158445129,0.332357777,0.323666445,0.638884043,Ttc41
ENSMUSG00000084383,6.099084983,-0.105091015,0.343817914,0.323809477,0.638997048,Gm13370
ENSMUSG00000005124,48.34429948,0.084241562,0.34300793,0.323772224,0.638997048,Ccn4
ENSMUSG00000000439,456.9324947,0.142320339,0.164727485,0.323987055,0.639267187,Mkrn2
ENSMUSG00000025190,1558.512,-0.160212994,0.324663904,0.324205843,0.63961856,Got1
ENSMUSG00000027784,54.30138652,0.164015854,0.324022009,0.324582077,0.639881797,Ppm1l
ENSMUSG00000061904,8973.190743,-0.153301131,0.186197769,0.324583625,0.639881797,Slc25a3
ENSMUSG00000063488,37.84417933,-0.151935233,0.330722727,0.324560188,0.639881797,Zkscan7
ENSMUSG00000044950,283.6894216,0.182133062,0.295965865,0.32441983,0.639881797,Pwwp2a
ENSMUSG00000075420,4.325359078,0.112668486,0.343892555,0.32453028,0.639881797,Smim6
ENSMUSG00000024381,3163.442634,0.185973649,0.238199516,0.324579897,0.639881797,Bin1
ENSMUSG00000040183,14.33394928,0.143058251,0.338742114,0.325000031,0.640565661,Ankrd6
ENSMUSG00000036323,2841.965294,0.183287332,0.263068052,0.325012058,0.640565661,Srp72
ENSMUSG00000026754,337.9624151,-0.172258283,0.293496042,0.325113909,0.640686032,Golga1
ENSMUSG00000096544,80.02235623,0.179697643,0.273693383,0.325236257,0.640808655,NA
ENSMUSG00000010721,107.0920458,-0.167921699,0.216770577,0.325257703,0.640808655,Lmbr1
ENSMUSG00000085058,19.1917764,-0.139879496,0.336253455,0.325368763,0.640947092,8030453O22Rik
ENSMUSG00000097167,4.60301414,-0.10014193,0.343479942,0.325694206,0.641346956,Gm16740
ENSMUSG00000056758,827.0809548,0.089203045,0.344501656,0.325678424,0.641346956,Hmga2
ENSMUSG00000038437,2610.473143,-0.167667685,0.215698284,0.325618773,0.641346956,Mllt6
ENSMUSG00000074649,561.8590799,-0.173283626,0.242445973,0.325737729,0.64135228,BC029722
ENSMUSG00000105867,188.96849,-0.138912133,0.33695847,0.325948376,0.641535163,Gm42517
ENSMUSG00000030138,1194.354636,0.185461264,0.266059116,0.32591214,0.641535163,Bms1
ENSMUSG00000020329,595.803682,-0.152706613,0.190121014,0.325987912,0.641535163,Polrmt
ENSMUSG00000024847,2206.50326,-0.17479556,0.249121701,0.325993937,0.641535163,Aip
ENSMUSG00000034158,1919.127327,0.164700579,0.314212626,0.326059621,0.641584066,Lrrc58
ENSMUSG00000074220,177.6376141,0.176244031,0.294925006,0.326146231,0.641624206,Zfp382
ENSMUSG00000020064,1048.760411,-0.174584626,0.292078135,0.326202531,0.641624206,Herc4
ENSMUSG00000052698,30.94552791,-0.099377262,0.343973118,0.326171252,0.641624206,Tln2
ENSMUSG00000001131,208.7108149,-0.090670335,0.341767542,0.326259743,0.641656412,Timp1
ENSMUSG00000024622,816.6014317,0.156203232,0.183392382,0.326314184,0.641683162,Hmgxb3
ENSMUSG00000004562,205.9473655,0.144254091,0.337965999,0.326363978,0.641700765,Arhgef40
ENSMUSG00000025357,289.124483,-0.128542298,0.338042218,0.326432624,0.641755429,Dgka
ENSMUSG00000086915,4.401654426,-0.099865627,0.342720296,0.326604975,0.641933621,Gm16364
ENSMUSG00000117007,19.38834723,0.137126793,0.338375763,0.326584534,0.641933621,NA
ENSMUSG00000033276,47.33316477,0.170777323,0.314802006,0.326744759,0.642080231,Stk36
ENSMUSG00000018395,1034.950385,-0.161774491,0.32037221,0.326761299,0.642080231,Kif3a
ENSMUSG00000042116,12.74202589,0.101724413,0.344006729,0.326844379,0.64212304,Vwa1
ENSMUSG00000052658,4.30270336,-0.091292044,0.343406453,0.326864821,0.64212304,5830454E08Rik
ENSMUSG00000070524,14.29899287,-0.137836226,0.337338444,0.327073597,0.642192463,Fcrlb
ENSMUSG00000081665,322.7007483,0.174195346,0.261366331,0.327080325,0.642192463,Pira1
ENSMUSG00000092187,22.03783196,-0.174464881,0.295202805,0.32709676,0.642192463,NA
ENSMUSG00000030619,904.8858753,0.177945537,0.274876363,0.32694841,0.642192463,Eed
ENSMUSG00000063727,17.5679477,-0.071973433,0.342684636,0.327104524,0.642192463,Tnfrsf11b
ENSMUSG00000051351,393.1158131,-0.165798258,0.217261079,0.327374041,0.642257885,Zfp46
ENSMUSG00000083811,5.998060214,-0.104149262,0.343408203,0.327383109,0.642257885,NA
ENSMUSG00000035325,3294.298453,0.170175698,0.220847739,0.327370639,0.642257885,Sec31a
ENSMUSG00000050627,1173.469826,-0.184032337,0.290647384,0.327270817,0.642257885,Gpd1l
ENSMUSG00000022615,28.06628495,-0.155853775,0.325572651,0.327341436,0.642257885,Tymp
ENSMUSG00000024135,292.9525476,0.17474627,0.251701655,0.327255589,0.642257885,Srbd1
ENSMUSG00000102591,63.39374118,0.053182631,0.341366869,0.327544159,0.642333227,NA
ENSMUSG00000068479,431.2443885,-0.171005158,0.266566998,0.327472165,0.642333227,Mfap1a
ENSMUSG00000114172,15.82032619,-0.146388862,0.333635078,0.327537822,0.642333227,NA
ENSMUSG00000004127,114.4330144,0.142833726,0.336774478,0.327712277,0.642342228,Trmt10a
ENSMUSG00000054499,449.6366721,-0.165753935,0.313849837,0.327710421,0.642342228,Dedd2
ENSMUSG00000040521,302.1671546,0.17669011,0.23987225,0.327631956,0.642342228,Tsfm
ENSMUSG00000020176,70.35886902,-0.086964576,0.343286937,0.327596225,0.642342228,Grb10
ENSMUSG00000027550,386.8363623,0.149011165,0.333483373,0.327777641,0.642390207,Lrrcc1
ENSMUSG00000029094,88.52599902,-0.164896131,0.31190555,0.327846842,0.642445695,Afap1
ENSMUSG00000073985,32.6550577,-0.142252414,0.335205491,0.328010386,0.642686019,NA
ENSMUSG00000009876,3.708378404,0.092782023,0.343558715,0.328149162,0.64287776,Cox4i2
ENSMUSG00000029001,78.28299227,-0.111063679,0.34257941,0.32835021,0.643191435,Fbxo44
ENSMUSG00000044339,61.16417989,0.181791528,0.289921249,0.328411397,0.643231097,Alkbh2
ENSMUSG00000037788,1207.850204,-0.170705993,0.309180643,0.32851584,0.643355462,Vopp1
ENSMUSG00000031949,65.12738682,-0.172652119,0.227805076,0.328637523,0.643513554,Adat1
ENSMUSG00000039156,1027.669045,0.170066658,0.30848146,0.328709963,0.64354335,Stim2
ENSMUSG00000002319,466.1986881,0.176447011,0.25235749,0.328734657,0.64354335,Ipo4
ENSMUSG00000086779,5.472588379,-0.115030676,0.341554168,0.328940534,0.643707172,NA
ENSMUSG00000039033,105.2327342,0.178993288,0.283819636,0.328945557,0.643707172,Tasp1
ENSMUSG00000031153,1754.245311,-0.142091623,0.164111857,0.328867756,0.643707172,Gripap1
ENSMUSG00000043541,3.730490406,0.101687731,0.343589166,0.329119916,0.643707172,Dnai7
ENSMUSG00000010054,577.1462999,-0.177052151,0.278318558,0.329146093,0.643707172,Tusc2
ENSMUSG00000053646,7.092763615,-0.093603731,0.343313271,0.329038531,0.643707172,Plxnb1
ENSMUSG00000025575,2243.657373,-0.156758379,0.196208349,0.32906643,0.643707172,Cant1
ENSMUSG00000097755,13.06704437,0.11318715,0.343774453,0.329039834,0.643707172,NA
ENSMUSG00000019944,295.0738082,0.145827089,0.336100097,0.329238574,0.643807899,Rhobtb1
ENSMUSG00000087396,35.92653933,0.164423719,0.321113205,0.329362495,0.643970076,4933407K13Rik
ENSMUSG00000016283,950.0069546,0.083750881,0.343935749,0.329627271,0.644407576,H2-M2
ENSMUSG00000024151,463.853432,0.170723556,0.229150551,0.329684947,0.644440145,Msh2
ENSMUSG00000022890,1546.166573,-0.146181807,0.176364227,0.329769004,0.644444103,Atp5j
ENSMUSG00000038002,899.5261771,-0.160237016,0.206234095,0.329754792,0.644444103,Cramp1
ENSMUSG00000024883,53.73086014,0.14212307,0.336601692,0.329812436,0.644448824,Rin1
ENSMUSG00000031451,12537.42266,-0.094774905,0.34282647,0.329857104,0.644455959,Gas6
ENSMUSG00000027466,2149.891606,-0.173073362,0.273485553,0.330015046,0.644684372,Rbck1
ENSMUSG00000077222,7.561321911,-0.107222792,0.34225846,0.330144623,0.644792695,Gm22270
ENSMUSG00000031731,2479.700163,0.169966367,0.242037976,0.330152573,0.644792695,Ap1g1
ENSMUSG00000112146,5.115852275,-0.089661058,0.343296581,0.330336426,0.645003939,NA
ENSMUSG00000022602,20.59684169,0.158007414,0.328130258,0.33034284,0.645003939,Arc
ENSMUSG00000040631,100.9577949,-0.15853708,0.320335215,0.330507201,0.645244674,Dok4
ENSMUSG00000026097,415.5164173,-0.173378141,0.278407827,0.330771561,0.645439986,Ormdl1
ENSMUSG00000026275,982.7016039,0.165038388,0.213625137,0.330651113,0.645439986,Ppp1r7
ENSMUSG00000004667,1397.146782,-0.172234979,0.260221595,0.330717574,0.645439986,Polr2e
ENSMUSG00000034024,4876.692828,0.172711159,0.237686154,0.330744998,0.645439986,Cct2
ENSMUSG00000026510,427.1459879,0.159494794,0.202841559,0.33081893,0.645452258,Trp53bp2
ENSMUSG00000075700,4508.229827,0.167615184,0.31536715,0.33086039,0.645452997,Selenot
ENSMUSG00000061046,360.2382302,0.174761951,0.29373768,0.330943709,0.645535389,Haghl
ENSMUSG00000063889,409.4244929,-0.151422444,0.331077423,0.331059419,0.645680932,Crem
ENSMUSG00000026090,20.01249458,-0.099989201,0.34271549,0.331212279,0.645864688,Cracdl
ENSMUSG00000033233,87.51264152,0.159226441,0.323928535,0.331276955,0.645864688,Trim45
ENSMUSG00000025887,14.78838696,-0.08747746,0.34299783,0.33126037,0.645864688,Casp12
ENSMUSG00000040621,54.13132007,0.176430717,0.272973143,0.331405915,0.645875682,Gemin8
ENSMUSG00000039684,3.518800329,0.108937947,0.342884635,0.331329125,0.645875682,Gm5422
ENSMUSG00000098534,4.717326573,0.083489957,0.3427709,0.331369123,0.645875682,NA
ENSMUSG00000031592,997.933131,0.158613142,0.331096289,0.331464203,0.64590916,Pcm1
ENSMUSG00000035778,4616.728668,0.180836271,0.304038864,0.331905502,0.64650172,Ggta1
ENSMUSG00000004069,1182.226754,0.145029299,0.169958544,0.331932878,0.64650172,Dnaja3
ENSMUSG00000023967,857.486346,0.168336621,0.227996894,0.331922513,0.64650172,Mrps18a
ENSMUSG00000047989,591.3428804,-0.172300209,0.259985646,0.331854696,0.64650172,Ino80c
ENSMUSG00000031922,500.0615883,0.177988963,0.273490265,0.332008712,0.646569271,Cep57
ENSMUSG00000052748,228.0216927,-0.171659423,0.293752235,0.332193653,0.646769104,Swt1
ENSMUSG00000047675,9181.509867,-0.178756772,0.279341188,0.332167398,0.646769104,Rps8
ENSMUSG00000051166,32.4285892,0.142639947,0.336476797,0.332236026,0.646771458,Eml5
ENSMUSG00000026615,3717.301601,0.169833178,0.310485612,0.332350311,0.646833655,Eprs
ENSMUSG00000027406,2487.777825,-0.139873172,0.165065399,0.332326313,0.646833655,Idh3b
ENSMUSG00000059975,167.9891533,0.178096142,0.259219862,0.332392869,0.646836358,Zfp74
ENSMUSG00000112806,7.97495863,0.140360587,0.336084883,0.332803797,0.647555821,NA
ENSMUSG00000048696,362.3770851,-0.171796804,0.247033645,0.332849004,0.647563591,Mex3d
ENSMUSG00000030393,42.38530062,0.158932246,0.323142909,0.333027693,0.647590484,Zik1
ENSMUSG00000008129,22.79102548,0.153401698,0.328370714,0.332969575,0.647590484,Brme1
ENSMUSG00000114871,15.33764202,-0.095197167,0.3434931,0.333006228,0.647590484,NA
ENSMUSG00000024081,717.1903754,0.167126341,0.313862121,0.332981289,0.647590484,Cebpz
ENSMUSG00000025982,5455.995662,0.175385249,0.280828666,0.333114523,0.647599032,Sf3b1
ENSMUSG00000030225,1008.784018,0.164110877,0.215810134,0.333086241,0.647599032,Dera
ENSMUSG00000027422,11171.19734,0.164363696,0.202377998,0.333195941,0.647677177,Rrbp1
ENSMUSG00000082345,4.94415574,0.074120521,0.342316512,0.333341729,0.647880412,NA
ENSMUSG00000026546,48.44012209,0.177309179,0.269370074,0.333385646,0.647885623,Cfap45
ENSMUSG00000032271,6.013396473,-0.067929071,0.342138574,0.333447166,0.64792504,Nnmt
ENSMUSG00000003604,244.9477494,-0.165936801,0.219539486,0.333538529,0.647938328,Aven
ENSMUSG00000111343,8.028596438,0.136082996,0.337968262,0.33354702,0.647938328,NA
ENSMUSG00000039828,633.8916216,-0.121221576,0.13129318,0.33357772,0.647938328,Wdr70
ENSMUSG00000024083,1301.700978,-0.169148729,0.237353187,0.333780432,0.648251935,Pja2
ENSMUSG00000041375,1222.516384,-0.169916187,0.238940841,0.33382448,0.64825735,Ccdc9
ENSMUSG00000090761,137.8044368,0.168758235,0.225461684,0.333976715,0.648472831,NA
ENSMUSG00000042705,955.216516,0.147790526,0.178954304,0.334160143,0.648748816,Commd10
ENSMUSG00000045065,19.23580586,0.123609802,0.341963027,0.334203668,0.648753155,NA
ENSMUSG00000038650,11129.69308,-0.166672301,0.303479771,0.334266748,0.648795447,Rnh1
ENSMUSG00000102719,11.55062511,0.135295698,0.338604759,0.334493699,0.648953049,NA
ENSMUSG00000026220,5.836107919,-0.052525179,0.341573081,0.334481664,0.648953049,Slc16a14
ENSMUSG00000038860,52.07089513,0.158225176,0.325305508,0.334486692,0.648953049,Garnl3
ENSMUSG00000062825,33058.01316,0.174736427,0.254404372,0.334554461,0.648953049,Actg1
ENSMUSG00000096370,13.72929605,0.139674376,0.33491142,0.334519381,0.648953049,Gm21992
ENSMUSG00000048106,211.3363927,-0.171726684,0.282876056,0.335015822,0.648955118,NA
ENSMUSG00000105843,9.306550863,0.113488312,0.342064293,0.335122479,0.648955118,NA
ENSMUSG00000027953,563.3204355,-0.174455958,0.286942306,0.335080644,0.648955118,Slc50a1
ENSMUSG00000040455,770.1709097,0.177546506,0.301404654,0.335247588,0.648955118,Usp45
ENSMUSG00000030110,3.216521066,-0.080008461,0.342646434,0.335122826,0.648955118,Ret
ENSMUSG00000090192,13.55662822,0.106329881,0.342397742,0.335050256,0.648955118,NA
ENSMUSG00000030380,26.88950382,-0.160801438,0.317242306,0.334742536,0.648955118,Mzf1
ENSMUSG00000108563,26.3887149,0.128099415,0.342298193,0.335257682,0.648955118,NA
ENSMUSG00000025103,1718.288398,-0.144711387,0.174725336,0.33461992,0.648955118,Btbd1
ENSMUSG00000110148,36.99582495,0.165196649,0.315896958,0.335090955,0.648955118,NA
ENSMUSG00000115624,41.34388981,0.140369888,0.336456704,0.335161192,0.648955118,NA
ENSMUSG00000037286,1046.965919,0.160950357,0.320471866,0.334779196,0.648955118,Stag1
ENSMUSG00000047821,300.0230032,0.174903179,0.287350365,0.334643693,0.648955118,Trim16
ENSMUSG00000087107,895.2986037,0.175169602,0.282371064,0.334861362,0.648955118,AI662270
ENSMUSG00000069273,6.281097728,0.07844681,0.342842092,0.335145212,0.648955118,H3c6
ENSMUSG00000112008,14.69631712,0.120906237,0.341870173,0.334735443,0.648955118,NA
ENSMUSG00000024774,4.941534363,0.044624803,0.342778523,0.335240128,0.648955118,Ankrd22
ENSMUSG00000030276,115.4047174,-0.171331346,0.288446994,0.335370152,0.649020568,Ttll3
ENSMUSG00000036854,127.3051988,0.153756857,0.329319948,0.335374109,0.649020568,Hspb6
ENSMUSG00000021794,7617.335838,-0.148029682,0.185072136,0.3354157,0.649021118,Glud1
ENSMUSG00000097971,1814.55591,0.177654283,0.294178371,0.335460923,0.649028693,NA
ENSMUSG00000038305,5.008365437,-0.063837327,0.342149778,0.335699605,0.649159925,Spats2l
ENSMUSG00000028845,7.281208484,-0.132604032,0.336581634,0.335715147,0.649159925,Tekt2
ENSMUSG00000018983,848.9108427,0.1519697,0.330611879,0.335678235,0.649159925,E2f2
ENSMUSG00000030979,187.0167999,-0.161745131,0.214911408,0.335735333,0.649159925,Uros
ENSMUSG00000049577,377.3389438,0.147307315,0.335907449,0.33559885,0.649159925,Zfpm1
ENSMUSG00000030850,1197.69453,-0.171293353,0.232553173,0.335836976,0.649221998,Ate1
ENSMUSG00000075229,198.157024,0.176088826,0.271452108,0.335850076,0.649221998,Mix23
ENSMUSG00000099375,24.27651977,0.134080356,0.33851962,0.335964411,0.649363122,NA
ENSMUSG00000058558,9086.950262,-0.168070645,0.236820193,0.336020744,0.649392119,Rpl5
